COUNT;Geo Local Area;Geom
9;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.138928378294, 49.265045121608]}"
2;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.144308916317, 49.2673853124217]}"
4;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.148796902171, 49.2640424259046]}"
1;West Point Grey;"{""type"": ""Point"", ""coordinates"": [-123.207233265954, 49.2635171229144]}"
3;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.155775783374, 49.2679109074402]}"
1;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.068497977725, 49.251168459864]}"
1;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.070924053761, 49.2769308524955]}"
5;West Point Grey;"{""type"": ""Point"", ""coordinates"": [-123.207440817342, 49.2635189902714]}"
3;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.075340384735, 49.2806036322856]}"
1;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.127509075582, 49.2753263859669]}"
2;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.064688559234, 49.2445875781059]}"
8;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.0589168365, 49.2425626898091]}"
8;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.059151347224, 49.242669163537]}"
2;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.103467376574, 49.2689241417608]}"
4;West Point Grey;"{""type"": ""Point"", ""coordinates"": [-123.187179258707, 49.263205728443]}"
7;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.093665119085, 49.2808692798258]}"
1;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.061139674323, 49.2763290980605]}"
10;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.07281168816, 49.2764289165352]}"
4;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.171571901568, 49.2681438511287]}"
4;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.096878026141, 49.272641325668]}"
1;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.098709966894, 49.2816102049561]}"
6;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.116546827698, 49.2775180453539]}"
11;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.10054121313, 49.2806578177679]}"
2;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.085911097608, 49.2735653508296]}"
5;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.104663146352, 49.2632038613372]}"
1;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.065278526361, 49.2771190848006]}"
5;West End;"{""type"": ""Point"", ""coordinates"": [-123.13739186939, 49.2840002389325]}"
9;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.130706716126, 49.2631688249165]}"
1;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.139291760851, 49.2690363410787]}"
1;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.167566863931, 49.2680804927805]}"
1;Hastings-Sunrise;"{""type"": ""Point"", ""coordinates"": [-123.036778657353, 49.2788207500531]}"
2;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.069322914611, 49.265975365011]}"
1;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.120915798954, 49.2865514070226]}"
3;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.097086030264, 49.2828799456441]}"
3;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.092378021973, 49.281509495321]}"
1;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.082270227077, 49.2759054360098]}"
1;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.082249842272, 49.2764532573127]}"
1;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.081960147565, 49.2766069210132]}"
2;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.096981526201, 49.2828777846061]}"
2;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.125843817315, 49.2885466170136]}"
6;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.089025716876, 49.256633463386]}"
1;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.115990924025, 49.286283559938]}"
5;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.088894907724, 49.2808221893221]}"
2;West End;"{""type"": ""Point"", ""coordinates"": [-123.141622283814, 49.2860982662647]}"
9;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.085739178527, 49.2807625432159]}"
9;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.086053910995, 49.2807677063627]}"
1;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.112973932777, 49.285087096752]}"
1;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.113430920192, 49.284625628455]}"
2;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.067511400097, 49.2772603394591]}"
2;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.069966973571, 49.2740700672954]}"
